epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.739,2.32437,11.7827,1.13037,0,0,0,0,0,0,0,0.000369729,0.000369729,0.000369729
2,336.462,2.16871,6.97292,1.06694,0,0,0,0,0,0,0,0.000732736,0.000732736,0.000732736
3,512.099,2.10664,4.01563,1.0603,0,0,0,0,0,0,0,0.00108841,0.00108841,0.00108841
4,676.384,2.06524,3.11942,1.06818,0,0,0,0,0,0,0,0.001078,0.001078,0.001078
5,825.801,1.99049,2.74703,1.03629,0,0,0,0,0,0,0,0.001067,0.001067,0.001067
6,970.496,1.97733,2.73463,1.02595,0,0,0,0,0,0,0,0.00105601,0.00105601,0.00105601
7,1103.76,1.89414,2.60294,1.01547,0,0,0,0,0,0,0,0.00104501,0.00104501,0.00104501
8,1231.92,1.90215,2.50823,0.98233,0,0,0,0,0,0,0,0.00103401,0.00103401,0.00103401
9,1359.02,1.88387,2.50759,1.00519,0,0,0,0,0,0,0,0.00102301,0.00102301,0.00102301
10,1486.14,1.86302,2.38401,1.016,0,0,0,0,0,0,0,0.00101201,0.00101201,0.00101201
11,1613.52,1.84028,2.4316,0.98175,0,0,0,0,0,0,0,0.00100101,0.00100101,0.00100101
12,1742.54,1.81465,2.39126,0.98934,0,0,0,0,0,0,0,0.000990012,0.000990012,0.000990012
13,1870.88,1.85898,2.38063,0.9803,0,0,0,0,0,0,0,0.000979013,0.000979013,0.000979013
14,2060.24,1.76408,2.37456,0.98584,0,0,0,0,0,0,0,0.000968014,0.000968014,0.000968014
15,2240.24,1.76875,2.32115,0.96998,0,0,0,0,0,0,0,0.000957015,0.000957015,0.000957015
16,2411.92,1.83323,2.32347,0.98537,0,0,0,0,0,0,0,0.000946016,0.000946016,0.000946016
17,2552.47,1.77482,2.31111,0.97368,0,0,0,0,0,0,0,0.000935018,0.000935018,0.000935018
18,2698.09,1.78931,2.33991,0.95914,0,0,0,0,0,0,0,0.000924019,0.000924019,0.000924019
19,2825.33,1.7929,2.29535,0.97864,0,0,0,0,0,0,0,0.00091302,0.00091302,0.00091302
20,2960.41,1.71759,2.30097,0.95324,0,0,0,0,0,0,0,0.000902021,0.000902021,0.000902021
21,3094.75,1.76361,2.23099,0.96928,0,0,0,0,0,0,0,0.000891022,0.000891022,0.000891022
22,3275.68,1.73551,2.26421,0.96076,0,0,0,0,0,0,0,0.000880023,0.000880023,0.000880023
23,3432.07,1.70712,2.32937,0.94704,0,0,0,0,0,0,0,0.000869024,0.000869024,0.000869024
24,3581.62,1.76507,2.30003,0.95349,0,0,0,0,0,0,0,0.000858025,0.000858025,0.000858025
25,3721.84,1.70587,2.30926,0.9484,0,0,0,0,0,0,0,0.000847026,0.000847026,0.000847026
26,3872.7,1.72654,2.22984,0.97604,0,0,0,0,0,0,0,0.000836027,0.000836027,0.000836027
27,4014.75,1.69243,2.2692,0.94999,0,0,0,0,0,0,0,0.000825029,0.000825029,0.000825029
28,4139.05,1.68784,2.26964,0.9652,0,0,0,0,0,0,0,0.00081403,0.00081403,0.00081403
29,4300.29,1.69663,2.35903,0.95594,0,0,0,0,0,0,0,0.000803031,0.000803031,0.000803031
30,4536.88,1.67936,2.25857,0.95825,0,0,0,0,0,0,0,0.000792032,0.000792032,0.000792032
31,4726.94,1.67306,2.2819,0.93427,0,0,0,0,0,0,0,0.000781033,0.000781033,0.000781033
32,4985.06,1.67241,2.21476,0.94009,0,0,0,0,0,0,0,0.000770034,0.000770034,0.000770034
33,5299.44,1.69104,2.26086,0.95476,0,0,0,0,0,0,0,0.000759035,0.000759035,0.000759035
34,5718.79,1.68964,2.20568,0.96459,0,0,0,0,0,0,0,0.000748036,0.000748036,0.000748036
35,6927.79,1.62577,2.23346,0.93858,0,0,0,0,0,0,0,0.000737037,0.000737037,0.000737037
36,8065.68,1.65329,2.22483,0.94763,0,0,0,0,0,0,0,0.000726038,0.000726038,0.000726038
37,8207.05,1.64763,2.22962,0.94023,0,0,0,0,0,0,0,0.00071504,0.00071504,0.00071504
38,8343.36,1.63836,2.2136,0.94345,0,0,0,0,0,0,0,0.000704041,0.000704041,0.000704041
39,8491.3,1.58117,2.29109,0.91009,0,0,0,0,0,0,0,0.000693042,0.000693042,0.000693042
40,8624.8,1.65471,2.25793,0.94675,0,0,0,0,0,0,0,0.000682043,0.000682043,0.000682043
41,8777.88,1.60719,2.30705,0.92648,0,0,0,0,0,0,0,0.000671044,0.000671044,0.000671044
42,8970.77,1.63172,2.18161,0.94763,0,0,0,0,0,0,0,0.000660045,0.000660045,0.000660045
43,9130.17,1.62605,2.28621,0.93409,0,0,0,0,0,0,0,0.000649046,0.000649046,0.000649046
44,9288.85,1.60945,2.28973,0.9296,0,0,0,0,0,0,0,0.000638047,0.000638047,0.000638047
45,9417.96,1.57694,2.26007,0.91048,0,0,0,0,0,0,0,0.000627048,0.000627048,0.000627048
46,9582.25,1.63429,2.20169,0.92834,0,0,0,0,0,0,0,0.000616049,0.000616049,0.000616049
47,9723.33,1.62967,2.19999,0.93569,0,0,0,0,0,0,0,0.000605051,0.000605051,0.000605051
48,9857.47,1.56355,2.27679,0.92388,0,0,0,0,0,0,0,0.000594052,0.000594052,0.000594052
49,9989.69,1.56904,2.1793,0.91675,0,0,0,0,0,0,0,0.000583053,0.000583053,0.000583053
50,10117.5,1.57083,2.19868,0.91549,0,0,0,0,0,0,0,0.000572054,0.000572054,0.000572054
51,10247.2,1.57229,2.20977,0.92535,0,0,0,0,0,0,0,0.000561055,0.000561055,0.000561055
52,10376.2,1.56161,2.20004,0.91931,0,0,0,0,0,0,0,0.000550056,0.000550056,0.000550056
53,10506.8,1.60307,2.17377,0.91669,0,0,0,0,0,0,0,0.000539057,0.000539057,0.000539057
54,10637.3,1.55264,2.2382,0.91924,0,0,0,0,0,0,0,0.000528058,0.000528058,0.000528058
55,10767.9,1.50937,2.31572,0.89856,0,0,0,0,0,0,0,0.000517059,0.000517059,0.000517059
56,10896.1,1.57264,2.13582,0.91001,0,0,0,0,0,0,0,0.00050606,0.00050606,0.00050606
57,11026.1,1.56611,2.23969,0.93033,0,0,0,0,0,0,0,0.000495062,0.000495062,0.000495062
58,11156.1,1.5686,2.17715,0.91097,0,0,0,0,0,0,0,0.000484063,0.000484063,0.000484063
59,11286.7,1.53488,2.25192,0.89379,0,0,0,0,0,0,0,0.000473064,0.000473064,0.000473064
60,11417.7,1.54686,2.17095,0.91402,0,0,0,0,0,0,0,0.000462065,0.000462065,0.000462065
61,11545.9,1.53312,2.17455,0.89902,0,0,0,0,0,0,0,0.000451066,0.000451066,0.000451066
62,11679.4,1.53294,2.20218,0.893,0,0,0,0,0,0,0,0.000440067,0.000440067,0.000440067
63,11810.9,1.53816,2.1669,0.91202,0,0,0,0,0,0,0,0.000429068,0.000429068,0.000429068
64,11938.2,1.53384,2.16495,0.90731,0,0,0,0,0,0,0,0.000418069,0.000418069,0.000418069
65,12084.5,1.50243,2.18462,0.89603,0,0,0,0,0,0,0,0.00040707,0.00040707,0.00040707
66,12299.8,1.5519,2.07197,0.92035,0,0,0,0,0,0,0,0.000396071,0.000396071,0.000396071
67,12437.9,1.50194,2.15847,0.89635,0,0,0,0,0,0,0,0.000385073,0.000385073,0.000385073
68,12568,1.48726,2.21691,0.8899,0,0,0,0,0,0,0,0.000374074,0.000374074,0.000374074
69,12704.3,1.52829,2.15736,0.91005,0,0,0,0,0,0,0,0.000363075,0.000363075,0.000363075
70,12838.4,1.48488,2.12395,0.90336,0,0,0,0,0,0,0,0.000352076,0.000352076,0.000352076
71,13006.3,1.47411,2.14823,0.89801,0,0,0,0,0,0,0,0.000341077,0.000341077,0.000341077
