epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,153.088,1.89946,2.00059,0.94511,0,0,0,0,0,0,0,0.00999092,0.00333031,0.00999092,0.00333031,0.00999092,0.00333031,0.00999092,0.00333031
2,270.055,1.70259,1.05932,0.83827,0,0,0,0,0,0,0,0.019793,0.00659767,0.019793,0.00659767,0.019793,0.00659767,0.019793,0.00659767
3,378.974,1.67643,0.86243,0.83036,0,0,0,0,0,0,0,0.0293971,0.00979903,0.0293971,0.00979903,0.0293971,0.00979903,0.0293971,0.00979903
4,487.246,1.51648,0.69533,0.82562,0,0,0,0,0,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,709.563,1.33882,0.59937,0.80919,0,0,0,0,0,0,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,917.609,1.24852,0.5538,0.8022,0,0,0,0,0,0,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1056.25,1.17648,0.52157,0.79419,0,0,0,0,0,0,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1190.45,1.12973,0.49984,0.79068,0,0,0,0,0,0,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1314.46,1.08795,0.48211,0.7861,0,0,0,0,0,0,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1454.33,1.05006,0.46567,0.78296,0,0,0,0,0,0,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1654.13,1.02592,0.45553,0.78378,0,0,0,0,0,0,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1955.4,1.01226,0.44813,0.77821,0,0,0,0,0,0,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2109.29,0.99623,0.44146,0.77531,0,0,0,0,0,0,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2248.68,0.96972,0.43012,0.77675,0,0,0,0,0,0,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2390.62,0.96232,0.42598,0.77495,0,0,0,0,0,0,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2531.6,0.95288,0.42223,0.77173,0,0,0,0,0,0,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2672.01,0.93876,0.41612,0.77093,0,0,0,0,0,0,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2812.58,0.92137,0.41088,0.7704,0,0,0,0,0,0,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2957.19,0.90887,0.4052,0.77057,0,0,0,0,0,0,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3091.52,0.90293,0.4008,0.76908,0,0,0,0,0,0,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3226.09,0.87855,0.39226,0.77075,0,0,0,0,0,0,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3358.4,0.8766,0.39022,0.76719,0,0,0,0,0,0,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3477.46,0.86889,0.38612,0.76545,0,0,0,0,0,0,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3595.48,0.86984,0.38546,0.76332,0,0,0,0,0,0,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3712.83,0.86209,0.3813,0.76277,0,0,0,0,0,0,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3830.68,0.84733,0.37847,0.76518,0,0,0,0,0,0,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3947.78,0.84038,0.37288,0.76529,0,0,0,0,0,0,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4065.34,0.84146,0.37274,0.76274,0,0,0,0,0,0,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
